,Serve percentage
0.9999999999999996,0.937
1.0,0.9380000000000001
0.9999999999999999,0.9390000000000001
0.9999999999999998,0.9400000000000001
1.0,0.9410000000000001
1.0000000000000004,0.9420000000000001
1.0,0.9430000000000001
0.9999999999999999,0.9440000000000001
1.0000000000000002,0.9450000000000001
1.0,0.9460000000000001
1.0,0.9470000000000001
0.9999999999999997,0.9480000000000001
0.9999999999999998,0.9490000000000001
0.9999999999999998,0.9500000000000001
1.0000000000000002,0.9510000000000001
1.0,0.9520000000000001
1.0,0.9530000000000001
0.9999999999999999,0.9540000000000001
1.0,0.9550000000000001
1.0,0.9560000000000001
0.9999999999999998,0.9570000000000001
1.0000000000000002,0.9580000000000001
1.0000000000000002,0.9590000000000001
1.0000000000000002,0.96
0.9999999999999997,0.961
1.0000000000000002,0.962
1.0,0.963
1.0000000000000002,0.964
0.9999999999999998,0.965
0.9999999999999999,0.966
1.0,0.967
1.0,0.968
1.0000000000000002,0.969
1.0,0.97
1.0000000000000002,0.971
1.0,0.972
1.0,0.973
1.0000000000000002,0.974
1.0,0.975
0.9999999999999999,0.976
0.9999999999999997,0.977
1.0000000000000002,0.978
1.0000000000000002,0.979
0.9999999999999999,0.98
1.0,0.981
1.0,0.982
1.0000000000000002,0.983
1.0000000000000002,0.984
1.0,0.985
0.9999999999999999,0.986
1.0000000000000002,0.987
0.9999999999999996,0.988
0.9999999999999997,0.989
1.0,0.99
1.0000000000000002,0.991
1.0000000000000002,0.992
0.9999999999999999,0.993
1.0,0.994
0.9999999999999997,0.995
1.0000000000000002,0.996
1.0,0.997
1.0,0.998
1.0,0.999
1.0,1.0
1.0000000000000002,1.0010000000000001
0.9999999999999999,1.002
1.0,1.0030000000000001
1.0000000000000002,1.004
1.0000000000000002,1.0050000000000001
0.9999999999999998,1.006
1.0,1.0070000000000001
0.9999999999999999,1.008
1.0000000000000002,1.0090000000000001
1.0,1.01
1.0,1.0110000000000001
0.9999999999999996,1.012
0.9999999999999998,1.0130000000000001
0.9999999999999998,1.014
0.9999999999999999,1.0150000000000001
0.9999999999999998,1.016
1.0,1.0170000000000001
1.0,1.018
1.0000000000000002,1.0190000000000001
1.0,1.02
0.9999999999999998,1.0210000000000001
1.0000000000000004,1.022
0.9999999999999999,1.0230000000000001
1.0000000000000002,1.024
1.0,1.025
1.0,1.026
1.0,1.027
1.0,1.028
0.9999999999999998,1.029
0.9999999999999998,1.03
0.9999999999999998,1.031
0.9999999999999999,1.032
1.0,1.033
0.9999999999999999,1.034
1.0,1.035
0.9999999999999999,1.036
0.9999999999999999,1.037
1.0,1.038
1.0000000000000002,1.039
1.0,1.04
1.0,1.041
1.0,1.042
0.9999999999999998,1.043
0.9999999999999999,1.044
0.9999999999999998,1.045
1.0,1.046
0.9999999999999999,1.047
1.0,1.048
0.9999999999999999,1.049
1.0,1.05
1.0,1.051
1.0000000000000002,1.052
1.0000000000000002,1.053
1.0000000000000004,1.054
0.9999999999999997,1.055
0.9999999999999998,1.056
0.9999999999999999,1.057
1.0000000000000002,1.058
1.0,1.059
0.9999999999999997,1.06
0.9999999999999999,1.061
0.9999999999999999,1.062
1.0000000000000002,1.063
1.0,1.064
1.0000000000000002,1.065
1.0,1.066
0.9999999999999997,1.067
1.0000000000000002,1.068
0.9999999999999998,1.069
1.0000000000000002,1.07
1.0,1.071
1.0000000000000002,1.072
1.0000000000000002,1.073
1.0,1.074
0.9999999999999999,1.075
1.0,1.076
0.9999999999999999,1.077
1.0,1.078
1.0,1.079
1.0000000000000002,1.08
1.0,1.081
1.0000000000000002,1.082
1.0000000000000002,1.083
1.0000000000000002,1.084
0.9999999999999999,1.085
0.9999999999999999,1.086
1.0,1.087
0.9999999999999999,1.088
1.0000000000000002,1.089
0.9999999999999998,1.09
0.9999999999999999,1.091
1.0,1.092
0.9999999999999998,1.093
0.9999999999999998,1.094
0.9999999999999999,1.095
1.0000000000000002,1.096
1.0,1.097
1.0,1.098
1.0,1.099
0.9999999999999998,1.1
1.0,1.101
1.0000000000000002,1.102
0.9999999999999999,1.103
0.9999999999999999,1.104
1.0,1.105
1.0000000000000002,1.106
1.0000000000000002,1.107
1.0,1.108
0.9999999999999999,1.109
1.0000000000000002,1.11
1.0,1.111
1.0000000000000002,1.112
0.9999999999999998,1.113
1.0,1.114
1.0,1.115
1.0,1.116
0.9999999999999997,1.117
1.0000000000000002,1.118
1.0000000000000002,1.119
1.0000000000000002,1.12
0.9999999999999998,1.121
1.0000000000000002,1.122
1.0000000000000002,1.123
1.0000000000000002,1.124
0.9999999999999999,1.125
1.0,1.1260000000000001
0.9999999999999996,1.127
1.0,1.1280000000000001
0.9999999999999999,1.129
1.0000000000000002,1.1300000000000001
1.0,1.131
0.9999999999999999,1.1320000000000001
1.0000000000000002,1.133
1.0000000000000002,1.1340000000000001
1.0,1.135
0.9999999999999999,1.1360000000000001
1.0,1.137
1.0,1.1380000000000001
0.9999999999999998,1.139
1.0,1.1400000000000001
1.0000000000000002,1.141
1.0,1.1420000000000001
1.0,1.143
1.0,1.1440000000000001
1.0000000000000002,1.145
0.9999999999999998,1.1460000000000001
1.0000000000000002,1.147
1.0,1.1480000000000001
0.9999999999999999,1.149
1.0,1.1500000000000001
1.0,1.151
0.9999999999999997,1.1520000000000001
1.0,1.153
1.0,1.154
1.0,1.155
0.9999999999999999,1.156
1.0000000000000002,1.157
0.9999999999999999,1.158
1.0,1.159
1.0,1.16
1.0,1.161
0.9999999999999998,1.162
1.0,1.163
0.9999999999999999,1.164
1.0000000000000004,1.165
1.0,1.166
1.0000000000000002,1.167
0.9999999999999998,1.168
1.0000000000000002,1.169
1.0,1.17
1.0,1.171
0.9999999999999998,1.172
1.0000000000000002,1.173
0.9999999999999999,1.174
1.0,1.175
1.0000000000000002,1.176
1.0000000000000004,1.177
0.9999999999999999,1.178
0.9999999999999999,1.179
0.9999999999999999,1.18
1.0,1.181
0.9999999999999999,1.182
1.0,1.183
1.0,1.184
1.0000000000000002,1.185
1.0000000000000002,1.186
0.9999999999999999,1.187
1.0000000000000002,1.188
1.0,1.189
1.0000000000000002,1.19
0.9999999999999998,1.191
1.0,1.192
1.0,1.193
1.0,1.194
0.9999999999999998,1.195
1.0000000000000002,1.196
0.9999999999999998,1.197
1.0000000000000002,1.198
0.9999999999999998,1.199
1.0,1.2
0.9999999999999998,1.201
1.0,1.202
1.0,1.203
0.9999999999999998,1.204
0.9999999999999999,1.205
0.9999999999999999,1.206
1.0,1.207
0.9999999999999999,1.208
1.0000000000000002,1.209
0.9999999999999998,1.21
1.0000000000000002,1.211
1.0,1.212
1.0,1.213
0.9999999999999999,1.214
1.0,1.215
1.0000000000000002,1.216
0.9999999999999999,1.217
1.0,1.218
0.9999999999999999,1.219
0.9999999999999999,1.22
1.0,1.221
0.9999999999999999,1.222
1.0,1.223
1.0,1.224
1.0,1.225
1.0,1.226
0.9999999999999998,1.227
1.0,1.228
1.0,1.229
1.0000000000000002,1.23
0.9999999999999998,1.231
0.9999999999999999,1.232
0.9999999999999998,1.233
1.0,1.234
1.0000000000000002,1.235
0.9999999999999997,1.236
1.0000000000000002,1.237
1.0,1.238
0.9999999999999999,1.239
0.9999999999999999,1.24
1.0000000000000002,1.241
1.0,1.242
1.0000000000000002,1.243
1.0000000000000002,1.244
1.0,1.245
0.9999999999999999,1.246
0.9999999999999999,1.247
0.9999999999999999,1.248
0.9999999999999999,1.249
1.0,1.25
1.0,1.2510000000000001
1.0,1.252
1.0,1.2530000000000001
1.0,1.254
1.0000000000000002,1.2550000000000001
1.0,1.256
1.0000000000000002,1.2570000000000001
1.0,1.258
1.0,1.2590000000000001
1.0000000000000002,1.26
1.0,1.2610000000000001
1.0,1.262
0.9999999999999998,1.2630000000000001
1.0,1.264
0.9999999999999999,1.2650000000000001
1.0,1.266
1.0,1.2670000000000001
1.0000000000000002,1.268
1.0,1.2690000000000001
0.9999999999999999,1.27
1.0000000000000002,1.2710000000000001
1.0,1.272
0.9999999999999996,1.2730000000000001
0.9999999999999999,1.274
1.0,1.2750000000000001
1.0000000000000002,1.276
0.9999999999999998,1.2770000000000001
1.0,1.278
1.0,1.2790000000000001
0.9999999999999999,1.28
0.9999999999999999,1.281
1.0,1.282
1.0,1.283
1.0,1.284
0.9999999999999999,1.285
1.0,1.286
0.9999999999999999,1.287
1.0,1.288
1.0,1.289
1.0,1.29
