,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 15:26:00,0.6679417122040072,0.00945863444298302,0.5201810128623948,0.04727846317354751,0.09067541478015312,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:05,0.6670309653916211,0.010137264208599558,0.5282715189743774,0.047083752026725274,0.08560755124556693,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:10,0.6644144144144144,0.012119476898217362,0.5529367563796048,0.046606089233488794,0.10259936234991762,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:15,0.6672146139428019,0.013206952561784585,0.5605129262484625,0.03988687286595124,0.09895419142466728,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:20,0.6689038031319912,0.01088620545742248,0.5507554066963932,0.03767779071846294,0.13710742525037525,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:25,0.6689038031319912,0.018049517604294338,0.5000197733376612,0.03953123349959945,0.15163853953147308,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:30,0.6695674230458974,0.019885342667009635,0.46390422970201145,0.04272229606065492,0.07438487866619016,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:35,0.6725226019250345,0.021051564220791016,0.47889820711590336,0.03061386320374961,0.07552002651605692,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:40,0.6739034116083296,0.023403547734331228,0.47223669487049763,0.030210747106894302,0.06909470937810473,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:45,0.6739034116083296,0.02339036330552221,0.47658254128335126,0.028462001996223122,0.08580745759418315,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:50,0.6739034116083296,0.02451706674027781,0.5281358029231276,0.026507891657722393,0.08341490383008689,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:26:55,0.6739034116083296,0.026614212282442054,0.5179284945266239,0.027891701491974372,0.09181750537530843,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:00,0.6783757492813676,0.02617090384718496,0.5174932404520023,0.02813444794603807,0.10570785035060956,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:05,0.6932811350287078,0.02740797194040158,0.49831222522862695,0.028243850447830805,0.15002937075093753,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:10,0.6958041958041958,0.02605002627728937,0.47417497458228175,0.02723567077726775,0.17113770221754523,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:15,0.6958041958041958,0.026154043609086932,0.5409892908991268,0.030508334947933032,0.1720509088996204,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:20,0.6958041958041958,0.027404321120226716,0.5330655847853968,0.03476687271380855,0.15983957074542274,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:25,0.6981351981351982,0.01850131499950315,0.5397899413425242,0.03166202368068479,0.14889321741440636,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:30,0.7138841361347756,0.013755800921094217,0.5002968964801593,0.03207275850858772,0.17790769049514646,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:35,0.728352910705852,0.013177674860589489,0.4824375830156351,0.03804018241193798,0.18631818735503064,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:40,0.7364865612543632,0.01085083008950324,0.4814205290163181,0.037650380525186225,0.1811479323643317,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:45,0.737037037037037,0.010933386508152256,0.45904239047484546,0.03608486099159129,0.18911430996836834,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:50,0.7381230854915066,0.009831928260333168,0.4785613635135216,0.03542028619151066,0.18888540162898584,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:27:55,0.737037037037037,0.008893647844298132,0.5059440095710286,0.03798669018317981,0.20986255970654255,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:00,0.737037037037037,0.00999536302053245,0.5155352349546297,0.04838413128002776,0.3120214633832747,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:05,0.737037037037037,0.013449559720066675,0.511404200806064,0.054269778147378496,0.3890241731894693,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:10,0.7396296739482093,0.013327183208992897,0.5199827680768313,0.055244482631682905,0.3906780853214986,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:15,0.7672310836546896,0.010360111010732143,0.48732121770025244,0.054330580768002894,0.43812581981410065,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:28:20,0.796632203085408,0.010014436877244712,0.4663409449419374,0.0839272272268149,0.4322827896095286,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
