,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,r1_setscore,r2_setscore
2018-07-07 11:20:30,0.6410256656972058,0.011676806100958732,0.22486964956098388,0.009558014071932422,0.7351830547964631,2.0,3.0
2018-07-07 11:20:32,0.6420947668354563,0.011025893430187722,0.22233625946999433,0.01395497911225409,0.7547647711234398,2.0,3.0
2018-07-07 11:20:34,0.6431638679737068,0.010670443863938825,0.22566294714115107,0.01707084679742166,0.7716511649905662,2.0,3.0
2018-07-07 11:20:36,0.6442329691119575,0.010311601095230206,0.22829388974616174,0.018892905955902123,0.7723847954040116,2.0,3.0
2018-07-07 11:20:38,0.6453020702502081,0.011273537310032238,0.23248654276286687,0.019783951193066897,0.786798830017548,2.0,3.0
2018-07-07 11:20:40,0.6461038961038961,0.01213863761193291,0.23123173278412537,0.01992294585511899,0.7974881337810616,2.0,3.0
2018-07-07 11:20:42,0.6470847220207674,0.012619682208219362,0.235649160351174,0.019580689588335084,0.80507687009979,2.0,3.0
2018-07-07 11:20:44,0.6455187470996271,0.013546356477500405,0.23539023067998205,0.019427504096883128,0.8093096432750357,2.0,3.0
2018-07-07 11:20:46,0.643719966290174,0.013772964827673772,0.2410140956896878,0.01980720159349701,0.8087866204778729,2.0,3.0
2018-07-07 11:20:48,0.6418852500715957,0.014823355507030523,0.24677273756111473,0.020724726590712672,0.8059781749961565,2.0,3.0
2018-07-07 11:20:50,0.6398468998679738,0.017708162514025395,0.2541036892889089,0.022048986925279644,0.7975373488919804,2.0,3.0
2018-07-07 11:20:52,0.637808549664352,0.0199021121790664,0.2601725581377057,0.023570775427407188,0.7873650568694943,2.0,3.0
2018-07-07 11:20:54,0.6358280067490318,0.020461799102102017,0.27111110679972333,0.02521239608658223,0.7787763631991401,2.0,3.0
2018-07-07 11:20:56,0.6340786929869178,0.020123639841466718,0.2825542050664139,0.02716397168008094,0.770780323600765,2.0,3.0
2018-07-07 11:20:58,0.6323868833382156,0.021472293578822608,0.28468883809957096,0.029474320374092602,0.7631089558595371,2.0,3.0
2018-07-07 11:21:00,0.6307653564947943,0.02281424580695006,0.29038263879136594,0.03214526375179826,0.7557454263511015,2.0,3.0
2018-07-07 11:21:02,0.6291438296513729,0.0232667701681264,0.2921298582270589,0.03517880763059469,0.7486739146969215,2.0,3.0
2018-07-07 11:21:04,0.62118774357822,0.023859975372680985,0.30717146440904736,0.03741309260798527,0.738682826580528,2.0,3.0
2018-07-07 11:21:06,0.61939348929653,0.02315547179516873,0.3205202274142506,0.039150379724019156,0.7242592747180335,2.0,3.0
2018-07-07 11:21:08,0.618518496296474,0.02332257607089936,0.3324048383805696,0.041658365160034204,0.7165498045299362,2.0,3.0
2018-07-07 11:21:10,0.617643503296418,0.024833444770731527,0.35895605111984136,0.04363964131700175,0.6836364295339901,2.0,3.0
2018-07-07 11:21:12,0.616768510296362,0.025728027929363694,0.3831441410780506,0.04501818289716302,0.6552697651173762,2.0,3.0
2018-07-07 11:21:14,0.615893517296306,0.025766080038525,0.3983174124338752,0.047157541478268145,0.6417570350722409,2.0,3.0
2018-07-07 11:21:16,0.61501852429625,0.02592697624143819,0.4158569388253733,0.04817413459654691,0.6235664262026488,2.0,3.0
2018-07-07 11:21:18,0.6149487349869767,0.026290138739067152,0.42246315056693046,0.048217950630200714,0.6165895317924879,2.0,3.0
2018-07-07 11:21:20,0.6160008278943555,0.02672838923889334,0.4203232426444674,0.049422590447553275,0.6026124926855452,2.0,3.0
2018-07-07 11:21:22,0.6182441521477959,0.027400060379558545,0.4202202655123469,0.04950910821500693,0.601990520624268,2.0,3.0
2018-07-07 11:21:24,0.6252524017854829,0.027926750317171154,0.40927404986159605,0.048795156761832596,0.6020513325783643,2.0,3.0
2018-07-07 11:21:26,0.6305913702272223,0.02767841378525455,0.40396674759326084,0.04811142241776352,0.6013302633018598,2.0,3.0
2018-07-07 11:21:28,0.6320353492117511,0.02642932189746671,0.40122612508482197,0.049282453203400876,0.6025401010803416,2.0,3.0
2018-07-07 11:21:30,0.6334793281962797,0.025427327728912725,0.4052908231063186,0.04671063985095635,0.6010391944552597,2.0,3.0
2018-07-07 11:21:32,0.6349233071808082,0.024760063032596365,0.41193821909035755,0.04511601906736529,0.5804531485438283,2.0,3.0
2018-07-07 11:21:34,0.6363672861653369,0.024819411090505134,0.4446160444795063,0.041236047212375344,0.5526419828904864,2.0,3.0
2018-07-07 11:21:36,0.6378112651498655,0.024861408551504517,0.481489889512286,0.03899589159349878,0.5459182119452614,2.0,3.0
2018-07-07 11:21:38,0.6392552441343942,0.023796434722228154,0.47841553980381646,0.038237986975026714,0.525943483768113,2.0,3.0
2018-07-07 11:21:40,0.640464091472633,0.022939733074926364,0.484176087848877,0.038774882214301455,0.5147178627576451,2.0,3.0
2018-07-07 11:21:42,0.6415161843800117,0.022035744001664036,0.49494393532378916,0.04031228220644848,0.5094872869389634,2.0,3.0
2018-07-07 11:21:44,0.6426174505472078,0.02091866583805488,0.5402111969888722,0.04211862792962677,0.5042305119934459,2.0,3.0
2018-07-07 11:21:46,0.6446530086509334,0.020710504915272897,0.5518790596803252,0.04380818840403347,0.49867745070231795,2.0,3.0
2018-07-07 11:21:48,0.6466885667546591,0.019412530659360203,0.5743006579294331,0.04461075307427646,0.4861781124821186,2.0,3.0
2018-07-07 11:21:50,0.6487241248583848,0.016657564705369637,0.5800516796799883,0.045054585140623965,0.48055026395161426,2.0,3.0
2018-07-07 11:21:52,0.6507596829621105,0.014937666871292327,0.5802281118434105,0.04535338637773145,0.46804968446372724,2.0,3.0
2018-07-07 11:21:54,0.6527952410658361,0.014436810119314736,0.5755819108724513,0.045371509716645206,0.4619347348991562,2.0,3.0
2018-07-07 11:21:56,0.6548307991695618,0.014021324422324552,0.5592471775210855,0.045365299598663915,0.44985017690758367,2.0,3.0
2018-07-07 11:21:58,0.6553362573099415,0.01397072487813041,0.5473561345710994,0.044698073858163996,0.45316369632436027,2.0,3.0
2018-07-07 11:22:00,0.6553362573099415,0.014210905968901106,0.5386996409366885,0.04345943513629633,0.43606073752397245,2.0,3.0
2018-07-07 11:22:02,0.6553362573099415,0.015295415684323977,0.5567923646011291,0.041365112868701724,0.42995510223424305,2.0,3.0
2018-07-07 11:22:04,0.6553362573099415,0.015197518974042996,0.5735505856053734,0.040259086734057356,0.43372158394484756,2.0,3.0
2018-07-07 11:22:06,0.6569254997040603,0.015130598763984954,0.583774280080258,0.04025803381551333,0.44492010665083165,2.0,3.0
2018-07-07 11:22:08,0.6585592004531489,0.015268250652429602,0.6028815471691568,0.04092295447435526,0.45354591165045105,2.0,3.0
2018-07-07 11:22:10,0.6590037840028461,0.014513709183541262,0.5831446762261885,0.045172370543017655,0.47130486046308756,2.0,3.0
2018-07-07 11:22:12,0.6602439772016973,0.01403963780596024,0.5743920610126579,0.049328667988578385,0.4691766655354538,2.0,3.0
2018-07-07 11:22:14,0.6633405929152407,0.0143368938407793,0.5677657753625979,0.0486537888256079,0.46011227170204705,2.0,3.0
2018-07-07 11:22:16,0.6585398397311352,0.014588204763572159,0.5595625601135424,0.04867506477908361,0.4513424084572247,2.0,3.0
2018-07-07 11:22:18,0.6561644425289113,0.013541573250517941,0.5612786360046534,0.04707744309092957,0.4523254237149056,2.0,3.0
2018-07-07 11:22:20,0.6537890453266872,0.013498150957372492,0.5536407589221874,0.04612814293762556,0.460602129130524,2.0,3.0
2018-07-07 11:22:22,0.6514136481244632,0.014170386903697336,0.5455389950043134,0.04777376032018421,0.45614562898584954,2.0,3.0
2018-07-07 11:22:24,0.6490382509222392,0.015454782446940932,0.535270968827492,0.04936025941404966,0.4629989840400139,2.0,3.0
2018-07-07 11:22:26,0.6466628537200152,0.016332983268695516,0.5416710466053336,0.0495749025422056,0.4557147125643096,2.0,3.0
2018-07-07 11:22:28,0.6442874565177912,0.017785693306809257,0.5332842496102487,0.04976206392545884,0.4463939110536556,2.0,3.0
2018-07-07 11:22:30,0.6419120593155672,0.017798867391558323,0.5424462875732132,0.04860768301748957,0.44489596356569383,2.0,3.0
2018-07-07 11:22:32,0.6395366621133433,0.017945844649203065,0.5488616601731916,0.04793928113768038,0.4477332477165457,2.0,3.0
2018-07-07 11:22:34,0.6377366128378772,0.01790678474657949,0.5485579054588278,0.049963682806398964,0.45769705829062524,2.0,3.0
2018-07-07 11:22:36,0.6359668450322404,0.01818055783960014,0.5420132175923313,0.052060438118415736,0.46685949120788534,2.0,3.0
2018-07-07 11:22:38,0.6341970772266037,0.017989364847097865,0.5340751256555885,0.054027929999093297,0.4783535110930057,2.0,3.0
2018-07-07 11:22:40,0.632325585021136,0.018072870522134167,0.5369512437939112,0.05563651660389217,0.4667884187565955,2.0,3.0
2018-07-07 11:22:42,0.6307462517583575,0.017496812618191408,0.5502300919039746,0.056897219017426365,0.45214473047657117,2.0,3.0
2018-07-07 11:22:44,0.6298885320234271,0.017486932154618384,0.5204072054987327,0.05817296018496545,0.44676534069956175,2.0,3.0
2018-07-07 11:22:46,0.6286327554511949,0.017514409120934812,0.51916866618171,0.05904152707608159,0.4429950168916705,2.0,3.0
2018-07-07 11:22:48,0.6273769788789627,0.01785924881011999,0.5037288868986308,0.06019395293533788,0.4463953875470563,2.0,3.0
2018-07-07 11:22:50,0.6261212023067304,0.018337018342629553,0.4982473604820654,0.06147769868964129,0.4478859020179369,2.0,3.0
2018-07-07 11:22:52,0.6244801754585849,0.019346136748383844,0.49136416667388244,0.06325777634510919,0.4732976916912945,2.0,3.0
2018-07-07 11:22:54,0.6227711632676314,0.019653469261085205,0.48565639216573825,0.06462832623190459,0.4848591158913423,2.0,3.0
2018-07-07 11:22:56,0.6216065043824726,0.01972818672963435,0.4930333335785353,0.0657012508114946,0.49309594221425107,2.0,3.0
2018-07-07 11:22:58,0.6212687275950965,0.019040524300714012,0.5109324561867792,0.0666055198573147,0.515070570037063,2.0,3.0
2018-07-07 11:23:00,0.6207803564620362,0.017928083172315763,0.5283563921251437,0.06770627135546127,0.5384055838084864,2.0,3.0
2018-07-07 11:23:02,0.6202919853289759,0.01683176851535815,0.5119014593340665,0.0692436339584027,0.5590298059791908,2.0,3.0
2018-07-07 11:23:04,0.6198036141959156,0.01572924833750947,0.49562366119951484,0.07052860386308021,0.5796719669640485,2.0,3.0
2018-07-07 11:23:06,0.6193152430628552,0.014686475903899269,0.4801362442168826,0.07052269138633409,0.5977397494096007,2.0,3.0
2018-07-07 11:23:08,0.6188268719297949,0.013917039970667667,0.4883475551486259,0.06839210373332773,0.6117502417851906,2.0,3.0
2018-07-07 11:23:10,0.6183415994458228,0.013392837195035659,0.48141584614358146,0.06459259922851317,0.61205278905245,2.0,3.0
2018-07-07 11:23:12,0.61785735984488,0.01319931994131771,0.4829342036592863,0.060279272136587125,0.6271053468873902,2.0,3.0
2018-07-07 11:23:14,0.6173731202439372,0.012923680553070999,0.4829408424470251,0.06028456866247542,0.6347623887429934,2.0,3.0
2018-07-07 11:23:16,0.6168731791701134,0.012685380810876046,0.48252021822349866,0.06060333420871825,0.6268822025282698,2.0,3.0
2018-07-07 11:23:18,0.6163115314371892,0.013349667602319093,0.4840757489450051,0.06282757856517061,0.6184462618160733,2.0,3.0
2018-07-07 11:23:20,0.615749883704265,0.01333291356112861,0.49730777889747496,0.06399247430083624,0.6592667772919971,2.0,3.0
2018-07-07 11:23:22,0.6155022324122739,0.012685505123936468,0.5083851758325363,0.0630150575988638,0.6940541397935491,2.0,3.0
2018-07-07 11:23:24,0.6152711072487528,0.011892067883983427,0.5180123227085065,0.06196870432664573,0.7180962889025662,2.0,3.0
2018-07-07 11:23:26,0.6150399820852317,0.011665293034217138,0.5075484535151926,0.061264999037341734,0.7418126727270259,2.0,3.0
2018-07-07 11:23:28,0.6148435256962388,0.01117676215182668,0.5146516772244737,0.05956466282218759,0.7635943396322216,2.0,3.0
2018-07-07 11:23:30,0.6145695546737213,0.01178942129644289,0.4998951841225697,0.059753951939594166,0.7817492086857943,2.0,3.0
2018-07-07 11:23:32,0.6142811641237029,0.011735685543733996,0.4951252425610616,0.058741657846168284,0.7917566078950591,2.0,3.0
2018-07-07 11:23:34,0.6130911025970305,0.011777472740557314,0.49803836264831675,0.05882212036070353,0.8002332941829561,2.0,3.0
2018-07-07 11:23:36,0.611901041070358,0.011448156023675379,0.5162021532381044,0.05868736544568242,0.8081707542999798,2.0,3.0
2018-07-07 11:23:38,0.6115224834226742,0.011433953687688188,0.53350851103815,0.05819398249591091,0.8145793090758884,2.0,3.0
2018-07-07 11:23:40,0.6114359662576687,0.011124143261448552,0.5382606786438006,0.057672846212862686,0.8194014463941364,2.0,3.0
2018-07-07 11:23:42,0.6114359662576687,0.011112668378733316,0.52641424116376,0.05695782169789154,0.821700858185738,2.0,3.0
2018-07-07 11:23:44,0.6114359662576687,0.010972277780120556,0.5546406131778142,0.056104446530496684,0.8285049116800222,2.0,3.0
2018-07-07 11:23:46,0.6114359662576687,0.010968940220387167,0.5639540939021295,0.05511447468448554,0.8342469925416756,2.0,3.0
2018-07-07 11:23:48,0.6114359662576687,0.010957661017912793,0.5765387547027824,0.05437883350284548,0.8381666501276787,2.0,3.0
2018-07-07 11:23:50,0.6114359662576687,0.010539844025705807,0.5626376964474499,0.05331059489980294,0.8442189422873957,2.0,3.0
2018-07-07 11:23:52,0.6114359662576687,0.009565585688585546,0.5484632182967497,0.05156277970209265,0.8494261499155068,2.0,3.0
2018-07-07 11:23:54,0.6114359662576687,0.008962507181377243,0.5393477385480538,0.05048141272828422,0.852440690044549,2.0,3.0
2018-07-07 11:23:56,0.6114359662576687,0.008853896145771105,0.525521891618684,0.049608730302833415,0.8551073848059731,2.0,3.0
