,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup
2018-07-11 19:04:46,0.2927948826490482,0.0393811666010766,0.723298039767756,0.010443734190451966,0.6777967596672743
2018-07-11 19:04:48,0.2925180920909277,0.03937632537620271,0.7296343696962508,0.010916340337536263,0.6764806704450033
2018-07-11 19:04:50,0.29244889445139755,0.038378979352603766,0.7291021368362525,0.01135624453154875,0.6634035455864633
2018-07-11 19:04:52,0.29464380226526937,0.03757149513829508,0.7335244619468627,0.011514984021690199,0.6664559998991182
2018-07-11 19:04:54,0.2939626239782057,0.03664181611358197,0.7319585613718479,0.011592404895508347,0.6692560938372745
2018-07-11 19:04:56,0.29244889445139755,0.03562293445460177,0.7329728778089055,0.01215760215263718,0.6640319092765827
2018-07-11 19:04:58,0.29262378750429574,0.034802032595768834,0.7308261841118932,0.012215108842866326,0.6634338309968597
2018-07-11 19:05:00,0.2927986805571939,0.03404095271216511,0.7281297215851563,0.012045445774887678,0.6549773543307688
2018-07-11 19:05:02,0.292973573610092,0.033555073884686926,0.7272870400762856,0.011889019949642534,0.6415027302888736
2018-07-11 19:05:04,0.2931484666629902,0.03328940383427627,0.7286559061018,0.011879967703721728,0.632797988388174
2018-07-11 19:05:06,0.29362676428861534,0.03311628673762745,0.728015334988461,0.011645654849829757,0.6191437838570115
2018-07-11 19:05:08,0.29426843360724736,0.03324889491170868,0.726165075742607,0.011532518531124395,0.6091836682009472
2018-07-11 19:05:10,0.2949101029258794,0.03375803027717822,0.7240902833319672,0.011661816130138032,0.6018617752131593
2018-07-11 19:05:12,0.29555177224451135,0.03426962239191922,0.7223480930086781,0.011351298534325245,0.5952851712833261
2018-07-11 19:05:14,0.29619344156314337,0.034649563789567656,0.7216036103537782,0.010854620186990812,0.5724679520147976
2018-07-11 19:05:16,0.2965464026990054,0.03497741402768971,0.7195890969037604,0.010161098233030961,0.5565616917737601
2018-07-11 19:05:18,0.29622571140840415,0.03609752448130465,0.711025312344956,0.009371307147798184,0.5468927340322328
2018-07-11 19:05:20,0.29590502011780284,0.038139905713976276,0.6940340187810594,0.00862409358698063,0.5386005807001273
2018-07-11 19:05:22,0.2953936244312666,0.0394095580952182,0.6809531534671524,0.007953869323665331,0.5323644347288007
2018-07-11 19:05:24,0.294649145594143,0.04113885729006191,0.6585943722206706,0.00761866442426226,0.5272160707929611
2018-07-11 19:05:26,0.29390466675701943,0.04125951602563142,0.6433659244786861,0.007630978437737665,0.5237705273920668
2018-07-11 19:05:28,0.29316018791989584,0.041518676241061134,0.6236709796158806,0.007764688165945448,0.5144147041361008
2018-07-11 19:05:30,0.29241570908277226,0.04284088546794992,0.6113708344919532,0.007947573599245583,0.5028491629134775
2018-07-11 19:05:32,0.2916712302456487,0.04383059054620858,0.5997154557763374,0.008344297300933817,0.4944215328495285
2018-07-11 19:05:34,0.2909267514085251,0.044475322666675234,0.5874452334139774,0.00840654047568342,0.4862533079539587
2018-07-11 19:05:36,0.2902566102229265,0.04484965612232085,0.5735682585652133,0.008408522030471221,0.47717529203021974
2018-07-11 19:05:38,0.29000771572930234,0.04545423373850175,0.5603780131208764,0.008173769529453638,0.45901934447901954
2018-07-11 19:05:40,0.2897588212356782,0.04642609517785851,0.5482136430720081,0.007907959447831563,0.44191536423405214
2018-07-11 19:05:42,0.2892872477423966,0.04749100358199679,0.5371803358225358,0.007867210713846195,0.42563445956186297
2018-07-11 19:05:44,0.2886957701723764,0.05149991633001645,0.5232093731566537,0.007846020705825707,0.4177134406528824
2018-07-11 19:05:46,0.28810429260235626,0.055133325929077596,0.5036708178492502,0.0078441269588428,0.414614071014863
2018-07-11 19:05:48,0.28751281503233606,0.056985435330257725,0.478591863292308,0.007916907014986681,0.4064371949662662
2018-07-11 19:05:50,0.28692133746231585,0.059182864875021016,0.4468098804948048,0.008045752472388477,0.4273023593005255
2018-07-11 19:05:52,0.2863298598922957,0.06295430020014282,0.41135447390272134,0.008124563904687387,0.4357135239589001
2018-07-11 19:05:54,0.2857383823222755,0.06634243666591898,0.3967035326361705,0.008656299206636709,0.44653474643119095
2018-07-11 19:05:56,0.28519829221371473,0.06876902908089619,0.382963630505806,0.008570611422094235,0.455561972938254
2018-07-11 19:05:58,0.2849493977200906,0.07083319390194434,0.36299445133275593,0.008621831622338148,0.45936198370503006
2018-07-11 19:06:00,0.28470050322646645,0.07268551236430533,0.3597939468785411,0.008625917184609802,0.4740004894351203
2018-07-11 19:06:02,0.28445160873284225,0.07444220156101723,0.3540797319213613,0.008662786735020831,0.48533712430932296
2018-07-11 19:06:04,0.2842027142392181,0.07610318547509372,0.3410039485224443,0.009367262597009601,0.4989698855265969
2018-07-11 19:06:06,0.28395381974559397,0.07766841417261211,0.319181005644524,0.009875575630537318,0.5148183578685197
2018-07-11 19:06:08,0.2837049252519698,0.07913786374585424,0.29684088902611777,0.009996617226505512,0.5461730998551049
2018-07-11 19:06:10,0.2834560307583457,0.0805115362390767,0.2775100895430729,0.009866188938890491,0.5865381545693624
2018-07-11 19:06:12,0.28365677655249133,0.0817894595570607,0.2653270429000195,0.009507812215136446,0.6204736516262813
2018-07-11 19:06:14,0.28423689619732784,0.08293161920921452,0.2540305054118888,0.009397026462218188,0.6572327151677118
2018-07-11 19:06:16,0.28487923946557037,0.08387806839063175,0.23653787748009375,0.00940311688335699,0.6835849615372591
2018-07-11 19:06:18,0.2855215827338129,0.0840099130389546,0.23322429999596903,0.010135348138546505,0.675986156876846
2018-07-11 19:06:20,0.28314491264131547,0.08320345759985714,0.25073896253624334,0.011072644534022572,0.6676724176350336
2018-07-11 19:06:22,0.28314491264131547,0.0820334142223169,0.25848541919805856,0.011939198196434752,0.6605542073913606
2018-07-11 19:06:24,0.28396905117415494,0.08101766865823513,0.26120688288377947,0.011616530235073332,0.6579027576786202
2018-07-11 19:06:26,0.28493862591867203,0.0817663248291058,0.24746513168353212,0.01139102694079554,0.6544257127295184
2018-07-11 19:06:28,0.2857142857142857,0.08129036262326093,0.27795167829661827,0.011377367409622238,0.6422542870458012
2018-07-11 19:06:30,0.2857142857142857,0.07895665625364728,0.30411788893397423,0.011194078271199216,0.6435409018930834
2018-07-11 19:06:32,0.2857142857142857,0.07736875009494287,0.308576188839858,0.01071799046743436,0.6393655844181857
2018-07-11 19:06:34,0.2857142857142857,0.07669662541592986,0.3116855362499646,0.010332984990534602,0.6302440683899172
2018-07-11 19:06:36,0.2857142857142857,0.0770934264265947,0.317746915741318,0.010332984990534443,0.6082284718437876
2018-07-11 19:06:38,0.2857142857142857,0.07741400622137999,0.32478836769450087,0.010572276271166692,0.6073638095482385
2018-07-11 19:06:40,0.2857142857142857,0.07739419219827141,0.33439439673397936,0.01056473866907459,0.618541539537336
2018-07-11 19:06:42,0.2857142857142857,0.07710018793761103,0.3438524530341573,0.010523616667592823,0.6264302635231771
2018-07-11 19:06:44,0.2857142857142857,0.07376954385516593,0.3516033964275324,0.010546413896793167,0.6264087587130154
2018-07-11 19:06:46,0.28535852636572057,0.07080304863112893,0.3603857301344636,0.010629292834616904,0.6082690679130186
2018-07-11 19:06:48,0.2849632382006483,0.07064752471720799,0.3639528825171919,0.01074112303002832,0.6025898437987115
2018-07-11 19:06:50,0.2845679500355759,0.0703551389869029,0.3554318454154557,0.01084387744853424,0.5998430286537213
2018-07-11 19:06:52,0.28417266187050355,0.06889428969396383,0.3444840646529002,0.0111524347346561,0.5998209754829223
2018-07-11 19:06:54,0.2837773737054312,0.06786025846362966,0.3302396510290272,0.010721790250521472,0.5903658283075528
2018-07-11 19:06:56,0.2833820855403589,0.06782757024087226,0.3133461082807643,0.01086697253570531,0.580744776443822
2018-07-11 19:06:58,0.2814071723987269,0.06799074485628198,0.3065749317322107,0.011145814285595414,0.5782072387881614
2018-07-11 19:07:00,0.28053830227743265,0.06749308031181102,0.30431389616584736,0.011247444033636818,0.5759806843479448
2018-07-11 19:07:02,0.28053830227743265,0.06699565523689406,0.30526314992322084,0.011214611329277112,0.5773330171074516
2018-07-11 19:07:04,0.28053830227743265,0.06678079562073595,0.30776406509083676,0.011271623753611354,0.5776927846764133
2018-07-11 19:07:06,0.28053830227743265,0.06674868945428566,0.3168831062455088,0.01124552134576937,0.5763434371067112
2018-07-11 19:07:08,0.28053830227743265,0.06671661414432904,0.32714644682205807,0.0115036135671008,0.5783733710072011
2018-07-11 19:07:10,0.28053830227743265,0.06622016505465322,0.3249980729420021,0.011460344218916072,0.5724106943509835
2018-07-11 19:07:12,0.28053830227743265,0.06600896108271306,0.31364984225033854,0.011651421596015631,0.5566397332806761
2018-07-11 19:07:14,0.2804326816771908,0.06644709330466962,0.2928527165752725,0.01203872315484836,0.5412864164657145
2018-07-11 19:07:16,0.2808483831497255,0.06757634299198015,0.27805026158377394,0.01280299966587811,0.5482094374606895
